Sample	Coverage	D	Z.score	Filter	Data Type	Software
Ust_Ishim	1X	-0.0582	-6.929	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
WC1	1X	-0.0483	-9.396	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yamnaya	1X	-0.0529	-9.98	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yana1	1X	-0.0702	-11.702	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H10	1X	-0.044577544	NA	Imputed GP Weighted	Imputed	New Script
2H11	1X	-0.049085223	NA	Imputed GP Weighted	Imputed	New Script
BA64	1X	-0.050203489	NA	Imputed GP Weighted	Imputed	New Script
BOT2016	1X	-0.048418644	NA	Imputed GP Weighted	Imputed	New Script
JP14	1X	-0.048861068	NA	Imputed GP Weighted	Imputed	New Script
KK1	1X	-0.036821135	NA	Imputed GP Weighted	Imputed	New Script
Kolyma1	1X	-0.058271078	NA	Imputed GP Weighted	Imputed	New Script
Stuttgart	1X	-0.045804563	NA	Imputed GP Weighted	Imputed	New Script
Loschbour	1X	-0.054218336	NA	Imputed GP Weighted	Imputed	New Script
Mota	1X	-0.002615661	NA	Imputed GP Weighted	Imputed	New Script
NE1	1X	-0.043328037	NA	Imputed GP Weighted	Imputed	New Script
PB675	1X	-0.051264334	NA	Imputed GP Weighted	Imputed	New Script
SRA62	1X	-0.055190709	NA	Imputed GP Weighted	Imputed	New Script
USR1	1X	-0.046297409	NA	Imputed GP Weighted	Imputed	New Script
Ust_Ishim	1X	-0.055325552	NA	Imputed GP Weighted	Imputed	New Script
WC1	1X	-0.039214536	NA	Imputed GP Weighted	Imputed	New Script
Yamnaya	1X	-0.047764565	NA	Imputed GP Weighted	Imputed	New Script
Yana1	1X	-0.059072992	NA	Imputed GP Weighted	Imputed	New Script
atp016	1X	-0.045976476	NA	Imputed GP Weighted	Imputed	New Script
sf12	1X	-0.049754437	NA	Imputed GP Weighted	Imputed	New Script
2H10	1X	-0.0197	-5.662	Imputed Filtered MAF05	Imputed	Admixtools
2H11	1X	-0.0225	-6.074	Imputed Filtered MAF05	Imputed	Admixtools
atp016	1X	-0.0222	-3.927	Imputed Filtered MAF05	Imputed	Admixtools
BA64	1X	-0.0255	-4.923	Imputed Filtered MAF05	Imputed	Admixtools
BOT2016	1X	-0.0227	-5.244	Imputed Filtered MAF05	Imputed	Admixtools
JP14	1X	-0.0238	-2.976	Imputed Filtered MAF05	Imputed	Admixtools
KK1	1X	-0.0138	-2.415	Imputed Filtered MAF05	Imputed	Admixtools
Kolyma1	1X	-0.0298	-4.177	Imputed Filtered MAF05	Imputed	Admixtools
Stuttgart	1X	-0.0239	-5.508	Imputed Filtered MAF05	Imputed	Admixtools
Loschbour	1X	-0.0285	-5.552	Imputed Filtered MAF05	Imputed	Admixtools
Mota	1X	-0.0016	-0.481	Imputed Filtered MAF05	Imputed	Admixtools
NE1	1X	-0.0178	-3.183	Imputed Filtered MAF05	Imputed	Admixtools
PB675	1X	-0.0251	-4.675	Imputed Filtered MAF05	Imputed	Admixtools
sf12	1X	-0.0243	-3.013	Imputed Filtered MAF05	Imputed	Admixtools
SRA62	1X	-0.0285	-4.92	Imputed Filtered MAF05	Imputed	Admixtools
USR1	1X	-0.0171	-3.007	Imputed Filtered MAF05	Imputed	Admixtools
Ust_Ishim	1X	-0.0141	-2.539	Imputed Filtered MAF05	Imputed	Admixtools
WC1	1X	-0.0093	-2.108	Imputed Filtered MAF05	Imputed	Admixtools
Yamnaya	1X	-0.0208	-3.893	Imputed Filtered MAF05	Imputed	Admixtools
Yana1	1X	-0.0293	-4.92	Imputed Filtered MAF05	Imputed	Admixtools
2H10	2X	-0.0533	-16.407	Imputed Filtered GP99	Imputed	Admixtools
2H11	2X	-0.0579	-14.122	Imputed Filtered GP99	Imputed	Admixtools
atp016	2X	-0.0552	-10.839	Imputed Filtered GP99	Imputed	Admixtools
BA64	2X	-0.0606	-12.553	Imputed Filtered GP99	Imputed	Admixtools
BOT2016	2X	-0.0591	-13.702	Imputed Filtered GP99	Imputed	Admixtools
JP14	2X	-0.0579	-9.586	Imputed Filtered GP99	Imputed	Admixtools
KK1	2X	-4.81E-02	-10.24	Imputed Filtered GP99	Imputed	Admixtools
Kolyma1	2X	-0.0682	-11.446	Imputed Filtered GP99	Imputed	Admixtools
Loschbour	2X	-0.0639	-15.527	Imputed Filtered GP99	Imputed	Admixtools
Mota	2X	-0.0136	-4.16	Imputed Filtered GP99	Imputed	Admixtools
NE1	2X	-0.0548	-11.458	Imputed Filtered GP99	Imputed	Admixtools
PB675	2X	-0.0607	-9.616	Imputed Filtered GP99	Imputed	Admixtools
sf12	2X	-0.0582	-8.698	Imputed Filtered GP99	Imputed	Admixtools
SRA62	2X	-0.0641	-13.723	Imputed Filtered GP99	Imputed	Admixtools
Stuttgart	2X	-0.0559	-12.511	Imputed Filtered GP99	Imputed	Admixtools
USR1	2X	-0.0547	-11.975	Imputed Filtered GP99	Imputed	Admixtools
Ust_Ishim	2X	-0.0635	-9.419	Imputed Filtered GP99	Imputed	Admixtools
WC1	2X	-0.0495	-10.789	Imputed Filtered GP99	Imputed	Admixtools
Yamnaya	2X	-0.0574	-12.798	Imputed Filtered GP99	Imputed	Admixtools
Yana1	2X	-0.0701	-13.068	Imputed Filtered GP99	Imputed	Admixtools
2H10	2X	-0.0494	-15.471	Imputed Raw	Imputed	Admixtools
2H11	2X	-0.0552	-13.991	Imputed Raw	Imputed	Admixtools
atp016	2X	-0.0527	-10.685	Imputed Raw	Imputed	Admixtools
BA64	2X	-0.0574	-11.868	Imputed Raw	Imputed	Admixtools
BOT2016	2X	-0.0556	-13.269	Imputed Raw	Imputed	Admixtools
JP14	2X	-0.0553	-9.33	Imputed Raw	Imputed	Admixtools
KK1	2X	-0.0435	-9.238	Imputed Raw	Imputed	Admixtools
Kolyma1	2X	-0.0639	-11.041	Imputed Raw	Imputed	Admixtools
Loschbour	2X	-0.0602	-14.829	Imputed Raw	Imputed	Admixtools
Mota	2X	-0.0054	-1.931	Imputed Raw	Imputed	Admixtools
NE1	2X	-0.0511	-11.225	Imputed Raw	Imputed	Admixtools
PB675	2X	-0.0576	-9.354	Imputed Raw	Imputed	Admixtools
sf12	2X	-0.0556	-8.557	Imputed Raw	Imputed	Admixtools
SRA62	2X	-0.061	-13.328	Imputed Raw	Imputed	Admixtools
Stuttgart	2X	-0.0526	-12.02	Imputed Raw	Imputed	Admixtools
USR1	2X	-0.0515	-11.035	Imputed Raw	Imputed	Admixtools
Ust_Ishim	2X	-0.0627	-8.889	Imputed Raw	Imputed	Admixtools
WC1	2X	-0.0454	-10.127	Imputed Raw	Imputed	Admixtools
Yamnaya	2X	-0.0541	-12.589	Imputed Raw	Imputed	Admixtools
Yana1	2X	-0.067	-13.458	Imputed Raw	Imputed	Admixtools
2H10	2X	-0.0294	-8.372	Pseudohaploid	Pseudohaploid	Admixtools
2H11	2X	-0.038	-9.377	Pseudohaploid	Pseudohaploid	Admixtools
atp016	2X	-0.0276	-5.641	Pseudohaploid	Pseudohaploid	Admixtools
BA64	2X	-0.0215	-4.578	Pseudohaploid	Pseudohaploid	Admixtools
BOT2016	2X	-0.0299	-6.547	Pseudohaploid	Pseudohaploid	Admixtools
JP14	2X	-0.029	-5.039	Pseudohaploid	Pseudohaploid	Admixtools
KK1	2X	0.0063	1.422	Pseudohaploid	Pseudohaploid	Admixtools
Kolyma1	2X	-0.0505	-8.741	Pseudohaploid	Pseudohaploid	Admixtools
Loschbour	2X	-0.0419	-9.143	Pseudohaploid	Pseudohaploid	Admixtools
Mota	2X	0.0336	10.948	Pseudohaploid	Pseudohaploid	Admixtools
NE1	2X	-0.0116	-2.685	Pseudohaploid	Pseudohaploid	Admixtools
PB675	2X	-0.0274	-4.52	Pseudohaploid	Pseudohaploid	Admixtools
sf12	2X	-0.0423	-5.979	Pseudohaploid	Pseudohaploid	Admixtools
SRA62	2X	-0.0477	-10.733	Pseudohaploid	Pseudohaploid	Admixtools
Stuttgart	2X	-0.0176	-3.954	Pseudohaploid	Pseudohaploid	Admixtools
USR1	2X	-0.0342	-7.494	Pseudohaploid	Pseudohaploid	Admixtools
Ust_Ishim	2X	-0.0395	-5.541	Pseudohaploid	Pseudohaploid	Admixtools
WC1	2X	-0.0166	-3.592	Pseudohaploid	Pseudohaploid	Admixtools
Yamnaya	2X	-0.0272	-5.954	Pseudohaploid	Pseudohaploid	Admixtools
Yana1	2X	-0.0393	-7.71	Pseudohaploid	Pseudohaploid	Admixtools
2H10	2X	-0.0526	-14.917	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H11	2X	-0.0581	-12.167	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
atp016	2X	-0.0544	-9.898	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BA64	2X	-0.0584	-10.789	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BOT2016	2X	-0.0551	-10.44	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
JP14	2X	-0.0546	-9.548	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
KK1	2X	-0.0471	-9.762	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Kolyma1	2X	-0.0644	-9.537	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Loschbour	2X	-0.0612	-13.773	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Mota	2X	2.00E-04	0.058	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
NE1	2X	-0.053	-10.723	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
PB675	2X	-0.0581	-8.717	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
sf12	2X	-0.056	-7.214	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
SRA62	2X	-0.0593	-12.538	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Stuttgart	2X	-0.0497	-9.575	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
USR1	2X	-0.0508	-9.59	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Ust_Ishim	2X	-0.0628	-8.021	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
WC1	2X	-0.0488	-9.123	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yamnaya	2X	-0.0552	-9.959	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yana1	2X	-0.0715	-13.204	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H10	2X	-0.043348287	NA	Imputed GP Weighted	Imputed	New Script
2H11	2X	-0.048552919	NA	Imputed GP Weighted	Imputed	New Script
BA64	2X	-0.049549821	NA	Imputed GP Weighted	Imputed	New Script
BOT2016	2X	-0.048152816	NA	Imputed GP Weighted	Imputed	New Script
JP14	2X	-0.048200212	NA	Imputed GP Weighted	Imputed	New Script
KK1	2X	-0.035908708	NA	Imputed GP Weighted	Imputed	New Script
Kolyma1	2X	-0.058062076	NA	Imputed GP Weighted	Imputed	New Script
Stuttgart	2X	-0.044932964	NA	Imputed GP Weighted	Imputed	New Script
Loschbour	2X	-0.053754102	NA	Imputed GP Weighted	Imputed	New Script
Mota	2X	-0.001179449	NA	Imputed GP Weighted	Imputed	New Script
NE1	2X	-0.042256983	NA	Imputed GP Weighted	Imputed	New Script
PB675	2X	-0.050460292	NA	Imputed GP Weighted	Imputed	New Script
SRA62	2X	-0.055041676	NA	Imputed GP Weighted	Imputed	New Script
USR1	2X	-0.045918851	NA	Imputed GP Weighted	Imputed	New Script
Ust_Ishim	2X	-0.055748462	NA	Imputed GP Weighted	Imputed	New Script
WC1	2X	-0.0384271	NA	Imputed GP Weighted	Imputed	New Script
Yamnaya	2X	-0.04708444	NA	Imputed GP Weighted	Imputed	New Script
Yana1	2X	-0.05884342	NA	Imputed GP Weighted	Imputed	New Script
atp016	2X	-0.045704077	NA	Imputed GP Weighted	Imputed	New Script
sf12	2X	-0.049670126	NA	Imputed GP Weighted	Imputed	New Script
2H10	2X	-0.0189	-5.903	Imputed Filtered MAF05	Imputed	Admixtools
2H11	2X	-0.0212	-6.332	Imputed Filtered MAF05	Imputed	Admixtools
atp016	2X	-0.0204	-4.342	Imputed Filtered MAF05	Imputed	Admixtools
BA64	2X	-0.0244	-5.582	Imputed Filtered MAF05	Imputed	Admixtools
BOT2016	2X	-0.0224	-6.638	Imputed Filtered MAF05	Imputed	Admixtools
JP14	2X	-0.0244	-4.157	Imputed Filtered MAF05	Imputed	Admixtools
KK1	2X	-0.0121	-2.607	Imputed Filtered MAF05	Imputed	Admixtools
Kolyma1	2X	-0.0294	-5.65	Imputed Filtered MAF05	Imputed	Admixtools
Stuttgart	2X	-0.0218	-5.416	Imputed Filtered MAF05	Imputed	Admixtools
Loschbour	2X	-0.0245	-5.666	Imputed Filtered MAF05	Imputed	Admixtools
Mota	2X	-0.0033	-1.116	Imputed Filtered MAF05	Imputed	Admixtools
NE1	2X	-0.0186	-4.434	Imputed Filtered MAF05	Imputed	Admixtools
PB675	2X	-0.0224	-4.114	Imputed Filtered MAF05	Imputed	Admixtools
sf12	2X	-0.0213	-3.368	Imputed Filtered MAF05	Imputed	Admixtools
SRA62	2X	-0.0272	-5.814	Imputed Filtered MAF05	Imputed	Admixtools
USR1	2X	-0.017	-3.878	Imputed Filtered MAF05	Imputed	Admixtools
Ust_Ishim	2X	-0.0179	-3.83	Imputed Filtered MAF05	Imputed	Admixtools
WC1	2X	-0.01	-2.702	Imputed Filtered MAF05	Imputed	Admixtools
Yamnaya	2X	-0.0202	-4.766	Imputed Filtered MAF05	Imputed	Admixtools
Yana1	2X	-0.028	-5.749	Imputed Filtered MAF05	Imputed	Admixtools
2H10	Original Coverage	-0.0471	-14.724	Imputed Filtered GP99	Imputed	Admixtools
2H11	Original Coverage	-0.0556	-14.131	Imputed Filtered GP99	Imputed	Admixtools
atp016	Original Coverage	-0.0531	-10.779	Imputed Filtered GP99	Imputed	Admixtools
BA64	Original Coverage	-0.0578	-12.008	Imputed Filtered GP99	Imputed	Admixtools
BOT2016	Original Coverage	-0.0557	-13.24	Imputed Filtered GP99	Imputed	Admixtools
JP14	Original Coverage	-0.0555	-9.357	Imputed Filtered GP99	Imputed	Admixtools
KK1	Original Coverage	-0.044	-9.422	Imputed Filtered GP99	Imputed	Admixtools
Kolyma1	Original Coverage	-0.0647	-11.074	Imputed Filtered GP99	Imputed	Admixtools
Loschbour	Original Coverage	-0.0607	-14.769	Imputed Filtered GP99	Imputed	Admixtools
Mota	Original Coverage	-0.0055	-1.998	Imputed Filtered GP99	Imputed	Admixtools
NE1	Original Coverage	-0.0515	-11.201	Imputed Filtered GP99	Imputed	Admixtools
PB675	Original Coverage	-0.058	-9.44	Imputed Filtered GP99	Imputed	Admixtools
sf12	Original Coverage	-0.0558	-8.568	Imputed Filtered GP99	Imputed	Admixtools
SRA62	Original Coverage	-0.0614	-13.453	Imputed Filtered GP99	Imputed	Admixtools
Stuttgart	Original Coverage	-0.0524	-11.99	Imputed Filtered GP99	Imputed	Admixtools
USR1	Original Coverage	-0.052	-11.34	Imputed Filtered GP99	Imputed	Admixtools
Ust_Ishim	Original Coverage	-0.0652	-8.938	Imputed Filtered GP99	Imputed	Admixtools
WC1	Original Coverage	-0.0456	-10.19	Imputed Filtered GP99	Imputed	Admixtools
Yamnaya	Original Coverage	-0.0545	-12.602	Imputed Filtered GP99	Imputed	Admixtools
Yana1	Original Coverage	-0.0687	-13.8	Imputed Filtered GP99	Imputed	Admixtools
2H10	Original Coverage	-0.0409	-13.002	Imputed Raw	Imputed	Admixtools
2H11	Original Coverage	-0.0546	-13.971	Imputed Raw	Imputed	Admixtools
atp016	Original Coverage	-0.0519	-10.597	Imputed Raw	Imputed	Admixtools
BA64	Original Coverage	-0.0551	-11.539	Imputed Raw	Imputed	Admixtools
BOT2016	Original Coverage	-0.0543	-12.942	Imputed Raw	Imputed	Admixtools
JP14	Original Coverage	-0.0544	-9.135	Imputed Raw	Imputed	Admixtools
KK1	Original Coverage	-0.0403	-8.632	Imputed Raw	Imputed	Admixtools
Kolyma1	Original Coverage	-0.0638	-10.951	Imputed Raw	Imputed	Admixtools
Loschbour	Original Coverage	-0.0599	-14.577	Imputed Raw	Imputed	Admixtools
Mota	Original Coverage	-0.0011	-0.415	Imputed Raw	Imputed	Admixtools
NE1	Original Coverage	-0.0492	-10.795	Imputed Raw	Imputed	Admixtools
PB675	Original Coverage	-0.0564	-9.183	Imputed Raw	Imputed	Admixtools
sf12	Original Coverage	-0.0558	-8.523	Imputed Raw	Imputed	Admixtools
SRA62	Original Coverage	-0.0603	-13.204	Imputed Raw	Imputed	Admixtools
Stuttgart	Original Coverage	-0.0504	-11.461	Imputed Raw	Imputed	Admixtools
USR1	Original Coverage	-0.0512	-11.048	Imputed Raw	Imputed	Admixtools
Ust_Ishim	Original Coverage	-0.0648	-8.889	Imputed Raw	Imputed	Admixtools
WC1	Original Coverage	-0.0434	-9.679	Imputed Raw	Imputed	Admixtools
Yamnaya	Original Coverage	-0.0537	-12.439	Imputed Raw	Imputed	Admixtools
Yana1	Original Coverage	-0.0678	-13.787	Imputed Raw	Imputed	Admixtools
2H10	Original Coverage	-0.0296	-9.206	Pseudohaploid	Pseudohaploid	Admixtools
2H11	Original Coverage	-0.0367	-9.906	Pseudohaploid	Pseudohaploid	Admixtools
atp016	Original Coverage	-0.0265	-5.197	Pseudohaploid	Pseudohaploid	Admixtools
BA64	Original Coverage	-0.0221	-4.68	Pseudohaploid	Pseudohaploid	Admixtools
BOT2016	Original Coverage	-0.0297	-6.712	Pseudohaploid	Pseudohaploid	Admixtools
JP14	Original Coverage	-0.0288	-4.937	Pseudohaploid	Pseudohaploid	Admixtools
KK1	Original Coverage	0.006	1.308	Pseudohaploid	Pseudohaploid	Admixtools
Kolyma1	Original Coverage	-0.0501	-8.358	Pseudohaploid	Pseudohaploid	Admixtools
Loschbour	Original Coverage	-0.0423	-9.822	Pseudohaploid	Pseudohaploid	Admixtools
Mota	Original Coverage	0.0321	11.672	Pseudohaploid	Pseudohaploid	Admixtools
NE1	Original Coverage	-0.0122	-2.787	Pseudohaploid	Pseudohaploid	Admixtools
PB675	Original Coverage	-0.0269	-4.689	Pseudohaploid	Pseudohaploid	Admixtools
sf12	Original Coverage	-0.0422	-6.245	Pseudohaploid	Pseudohaploid	Admixtools
SRA62	Original Coverage	-0.0479	-10.034	Pseudohaploid	Pseudohaploid	Admixtools
Stuttgart	Original Coverage	-0.0202	-4.877	Pseudohaploid	Pseudohaploid	Admixtools
USR1	Original Coverage	-0.0328	-7.023	Pseudohaploid	Pseudohaploid	Admixtools
Ust_Ishim	Original Coverage	-0.0396	-5.431	Pseudohaploid	Pseudohaploid	Admixtools
WC1	Original Coverage	-0.0164	-3.816	Pseudohaploid	Pseudohaploid	Admixtools
Yamnaya	Original Coverage	-0.0278	-6.143	Pseudohaploid	Pseudohaploid	Admixtools
Yana1	Original Coverage	-0.0376	-7.432	Pseudohaploid	Pseudohaploid	Admixtools
2H10	Original Coverage	-0.0522	-14.657	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H11	Original Coverage	-0.0579	-12.953	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
atp016	Original Coverage	-0.0514	-9.484	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BA64	Original Coverage	-0.0563	-11.188	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BOT2016	Original Coverage	-0.0531	-11.023	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
JP14	Original Coverage	-0.0527	-8.369	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
KK1	Original Coverage	-0.0435	-8.525	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Kolyma1	Original Coverage	-0.063	-9.883	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Loschbour	Original Coverage	-0.0577	-14.089	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Mota	Original Coverage	-1.00E-04	-0.037	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
NE1	Original Coverage	-0.0513	-11.773	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
PB675	Original Coverage	-0.0573	-8.686	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
sf12	Original Coverage	-0.0571	-8.209	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
SRA62	Original Coverage	-0.0606	-12.096	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Stuttgart	Original Coverage	-0.0518	-12.134	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
USR1	Original Coverage	-0.0509	-9.843	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Ust_Ishim	Original Coverage	-0.0622	-8.44	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
WC1	Original Coverage	-0.044	-9.959	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yamnaya	Original Coverage	-0.0589	-10.57	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yana1	Original Coverage	-0.0653	-11.544	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H10	Original Coverage	-0.036019512	NA	Imputed GP Weighted	Imputed	New Script
2H11	Original Coverage	-0.049542398	NA	Imputed GP Weighted	Imputed	New Script
BA64	Original Coverage	-0.049447999	NA	Imputed GP Weighted	Imputed	New Script
BOT2016	Original Coverage	-0.049097783	NA	Imputed GP Weighted	Imputed	New Script
JP14	Original Coverage	-0.049463616	NA	Imputed GP Weighted	Imputed	New Script
KK1	Original Coverage	-0.035023204	NA	Imputed GP Weighted	Imputed	New Script
Kolyma1	Original Coverage	-0.059344817	NA	Imputed GP Weighted	Imputed	New Script
Loschbour	Original Coverage	-0.055222992	NA	Imputed GP Weighted	Imputed	New Script
Mota	Original Coverage	6.51E-05	NA	Imputed GP Weighted	Imputed	New Script
NE1	Original Coverage	-0.043246211	NA	Imputed GP Weighted	Imputed	New Script
PB675	Original Coverage	-0.051556961	NA	Imputed GP Weighted	Imputed	New Script
SRA62	Original Coverage	-0.055233741	NA	Imputed GP Weighted	Imputed	New Script
Stuttgart	Original Coverage	-0.045177946	NA	Imputed GP Weighted	Imputed	New Script
USR1	Original Coverage	-0.047235557	NA	Imputed GP Weighted	Imputed	New Script
Ust_Ishim	Original Coverage	-0.06103547	NA	Imputed GP Weighted	Imputed	New Script
WC1	Original Coverage	-0.038689913	NA	Imputed GP Weighted	Imputed	New Script
Yamnaya	Original Coverage	-0.049225442	NA	Imputed GP Weighted	Imputed	New Script
Yana1	Original Coverage	-0.063283004	NA	Imputed GP Weighted	Imputed	New Script
atp016	Original Coverage	-0.046788675	NA	Imputed GP Weighted	Imputed	New Script
sf12	Original Coverage	-0.051071675	NA	Imputed GP Weighted	Imputed	New Script
2H10	Original Coverage	-1.87E-02	-5.856	Imputed Filtered MAF05	Imputed	Admixtools
2H11	Original Coverage	-0.0212	-6.377	Imputed Filtered MAF05	Imputed	Admixtools
WC1	Original Coverage	-0.01	-2.698	Imputed Filtered MAF05	Imputed	Admixtools
BA64	Original Coverage	-0.0245	-5.65	Imputed Filtered MAF05	Imputed	Admixtools
USR1	Original Coverage	-0.0171	-3.929	Imputed Filtered MAF05	Imputed	Admixtools
KK1	Original Coverage	-0.0119	-2.592	Imputed Filtered MAF05	Imputed	Admixtools
sf12	Original Coverage	-0.0214	-3.343	Imputed Filtered MAF05	Imputed	Admixtools
NE1	Original Coverage	-0.0185	-4.392	Imputed Filtered MAF05	Imputed	Admixtools
Stuttgart	Original Coverage	-0.0217	-5.335	Imputed Filtered MAF05	Imputed	Admixtools
Loschbour	Original Coverage	-0.0248	-5.695	Imputed Filtered MAF05	Imputed	Admixtools
atp016	Original Coverage	-0.0205	-4.398	Imputed Filtered MAF05	Imputed	Admixtools
JP14	Original Coverage	-0.0246	-4.18	Imputed Filtered MAF05	Imputed	Admixtools
PB675	Original Coverage	-0.0224	-4.127	Imputed Filtered MAF05	Imputed	Admixtools
SRA62	Original Coverage	-0.0274	-5.859	Imputed Filtered MAF05	Imputed	Admixtools
Kolyma1	Original Coverage	-0.0297	-5.672	Imputed Filtered MAF05	Imputed	Admixtools
Yana1	Original Coverage	-0.0285	-5.892	Imputed Filtered MAF05	Imputed	Admixtools
BOT2016	Original Coverage	-0.0223	-6.606	Imputed Filtered MAF05	Imputed	Admixtools
Yamnaya	Original Coverage	-0.0201	-4.737	Imputed Filtered MAF05	Imputed	Admixtools
Ust_Ishim	Original Coverage	-0.0186	-3.897	Imputed Filtered MAF05	Imputed	Admixtools
Mota	Original Coverage	-0.0029	-1.004	Imputed Filtered MAF05	Imputed	Admixtools
2H10	Original Coverage	-0.0532	-15.753	Genotype Calls	Genotype Calls	Admixtools
2H11	Original Coverage	-0.0549	-14.408	Genotype Calls	Genotype Calls	Admixtools
atp016	Original Coverage	-0.0615	-12.124	Genotype Calls	Genotype Calls	Admixtools
BA64	Original Coverage	-0.0637	-14.196	Genotype Calls	Genotype Calls	Admixtools
BOT2016	Original Coverage	-0.059	-15.594	Genotype Calls	Genotype Calls	Admixtools
JP14	Original Coverage	-0.0577	-9.399	Genotype Calls	Genotype Calls	Admixtools
KK1	Original Coverage	-0.0548	-11.545	Genotype Calls	Genotype Calls	Admixtools
Kolyma1	Original Coverage	-0.0683	-11.847	Genotype Calls	Genotype Calls	Admixtools
Loschbour	Original Coverage	-0.0592	-13.65	Genotype Calls	Genotype Calls	Admixtools
Mota	Original Coverage	-0.0267	-7.078	Genotype Calls	Genotype Calls	Admixtools
NE1	Original Coverage	-0.0535	-10.984	Genotype Calls	Genotype Calls	Admixtools
PB675	Original Coverage	-0.059	-9.593	Genotype Calls	Genotype Calls	Admixtools
sf12	Original Coverage	-0.0539	-7.921	Genotype Calls	Genotype Calls	Admixtools
SRA62	Original Coverage	-0.0631	-12.965	Genotype Calls	Genotype Calls	Admixtools
Stuttgart	Original Coverage	-0.0545	-12.509	Genotype Calls	Genotype Calls	Admixtools
USR1	Original Coverage	-0.0537	-10.99	Genotype Calls	Genotype Calls	Admixtools
Ust_Ishim	Original Coverage	-0.0628	-9.337	Genotype Calls	Genotype Calls	Admixtools
WC1	Original Coverage	-0.0583	-11.533	Genotype Calls	Genotype Calls	Admixtools
Yamnaya	Original Coverage	-0.0548	-11.48	Genotype Calls	Genotype Calls	Admixtools
Yana1	Original Coverage	-0.0698	-12.997	Genotype Calls	Genotype Calls	Admixtools
2H10	Original Coverage	-0.0411	-12.31	Genotype Calls Only Transversions	Genotype Calls	Admixtools
2H11	Original Coverage	-0.0499	-11.003	Genotype Calls Only Transversions	Genotype Calls	Admixtools
atp016	Original Coverage	-0.045	-8.495	Genotype Calls Only Transversions	Genotype Calls	Admixtools
BA64	Original Coverage	-0.0517	-10.094	Genotype Calls Only Transversions	Genotype Calls	Admixtools
BOT2016	Original Coverage	-0.0504	-10.982	Genotype Calls Only Transversions	Genotype Calls	Admixtools
JP14	Original Coverage	-0.0466	-7.46	Genotype Calls Only Transversions	Genotype Calls	Admixtools
KK1	Original Coverage	-0.0414	-7.482	Genotype Calls Only Transversions	Genotype Calls	Admixtools
Kolyma1	Original Coverage	-0.0597	-9.08	Genotype Calls Only Transversions	Genotype Calls	Admixtools
Loschbour	Original Coverage	-0.0481	-10.587	Genotype Calls Only Transversions	Genotype Calls	Admixtools
Mota	Original Coverage	-0.0089	-1.484	Genotype Calls Only Transversions	Genotype Calls	Admixtools
NE1	Original Coverage	-0.0438	-7.836	Genotype Calls Only Transversions	Genotype Calls	Admixtools
PB675	Original Coverage	-0.0483	-7.88	Genotype Calls Only Transversions	Genotype Calls	Admixtools
sf12	Original Coverage	-0.0481	-6.474	Genotype Calls Only Transversions	Genotype Calls	Admixtools
